순위,기업명,종목코드,2024년 매출(억원),섹터(추정),채용규모(추정),채용형태(추정),IT/전산직 채용 및 주요 직무,비고 및 특이사항,직원수(공시),"평균연봉(대표,만원)",평균연봉_출처
1,삼성전자,005930,3008709,제조·모빌리티,대규모,혼합,"DX/DS부문 전산 인프라 운영, 보안, ERP 관리","채용 규모/특징: 대규모 (정기/수시). 국내 최대 IT 인력 수요, 일반 전산직도 최고 대우",129480,12567,dart
2,현대자동차,005380,1752312,제조·모빌리티,대규모,수시,"ICT 직군 (시스템 운영, 보안, 네트워크, 인프라)",채용 규모/특징: 대규모 (수시 채용). 현대오토에버와 별개로 본사 IT 거버넌스 인력 대거 채용,75137,12383,dart
3,SK,034730,1246904,기타,소규모,수시,"그룹 IT 전략 기획, 전산 거버넌스 관리",채용 규모/특징: 소수 수시 채용. 지주사. 실제 운영은 SK C&C가 주도하나 본사 기획직 존재,4404,11619,dart
4,기아,000270,1074488,제조·모빌리티,중간,수시,"전산 시스템 운영, 보안, 클라우드 인프라","채용 규모/특징: 수시 채용 활발. 현대차와 동일한 ICT 직군 체계, 인프라 관리 비중 높음",35747,13619,dart
5,한국전력공사,015760,933989,공공,대규모,정기,"ICT 직렬 (통신, 보안, 전산 시스템 운영)","채용 규모/특징: 정기 공채 (대규모). 공기업 전산직의 정석, 전국 사업소 인프라 관리",22742,9139,dart
6,LG전자,066570,877282,제조·모빌리티,중간,혼합,"스마트 팩토리 IT, 전산 보안, ERP 유지보수",채용 규모/특징: 수시/정기 공채. LG CNS와 협력하며 본사 자체 IT 운영 인력 필수 채용,35727,11732,dart
7,SK이노베이션,096770,747170,에너지,소규모,수시,"그룹 전산 전략, DX 기획, 정보보안 가이드",채용 규모/특징: 소수 수시 채용. IT 기획 및 자회사(SK에너지 등) 전산 컨트롤타워,2148,12132,dart
8,POSCO홀딩스,005490,726881,기타,극소수,수시,그룹 IT 거버넌스 수립 및 전산 보안 감사,채용 규모/특징: 극소수 (지주사). 지주사 성격. 실제 실무는 포스코DX에서 전담 수행,527,14261,dart
9,HD현대,267250,677656,기타,소규모,수시,"그룹 공통 전산 시스템 기획, 보안 가이드",채용 규모/특징: 소수 수시 채용. 지주사. 계열사 통합 IT 인프라 전략 수립 담당,53,16554,dart
10,SK하이닉스,000660,661930,제조·모빌리티,대규모,혼합,"반도체 공정 전산(MES), 인프라, 전산 보안","채용 규모/특징: 대규모 (정기/수시). 반도체 특화 전산직 수요 매우 높음, 성과급 비중 큼",32390,11391,dart
11,현대모비스,012330,572370,제조·모빌리티,중간,수시,"스마트 팩토리 IT, 전산 보안, ERP 운영",채용 규모/특징: 수시 채용 활발. 제조 기반 IT 솔루션 및 전산망 유지보수 핵심,12310,13320,dart
12,한화,000880,556468,기타,중간,혼합,"방산/제조 전산 시스템, ERP 운영, 보안",채용 규모/특징: 수시/정기 공채. 본사 및 사업장별 전산 지원 조직 운영 (한화시스템 별도),3492,8753,dart
13,LG화학,051910,489161,제조·모빌리티,중간,혼합,"생산 공정 IT(MES), 전산 보안, ERP 유지보수",채용 규모/특징: 수시/정기 공채. 대규모 생산 거점(여수 등) 전산 인프라 관리직 상시 필요,13857,10555,dart
14,GS칼텍스,,476142,에너지,소규모,수시,"정유 전산 인프라 운영, 보안, ERP 관리","채용 규모/특징: 소수 수시 채용. 정유사 특유의 높은 연봉, 안정적인 전산 운영 환경",,14000,research
15,메리츠금융지주,138040,465745,금융,극소수,수시,"금융 IT 전략 기획, 그룹사 전산 보안 감사",채용 규모/특징: 극소수. 지주사 채용은 적으나 금융 IT 전략의 핵심 직무,36,19308,dart
16,포스코,,446441,제조·모빌리티,중간,혼합,"제철 공정 전산, 네트워크, 보안, 일반 전산 지원","채용 규모/특징: 수시/정기 공채. 포항/광양 기반 대규모 인프라 운영, 매우 안정적임",,10000,research
17,CJ,001040,436467,기타,소규모,수시,"그룹 IT 표준화 전략, 보안 정책 수립",채용 규모/특징: 소수 수시 채용. 지주사. 실제 운영은 CJ올리브네트웍스가 주도,62,79445,dart
18,SK에너지,,434194,에너지,소규모,수시,"공정 자동화 전산, IT 인프라 보안 및 지원",채용 규모/특징: 소수 수시 채용. 울산 공장 상주 IT 지원 및 본사 시스템 운영,,10000,research
19,삼성물산,028260,421032,건설·엔지니어링,중간,혼합,상사/건설/패션/리조트 전산 통합 관리,채용 규모/특징: 수시/정기 공채. 사업부별 전산 시스템 운영 및 일반 전산 행정,9380,13416,dart
20,한국가스공사,036460,383887,공공,중간,정기,"전산 운영, 정보보안, 클라우드 인프라","채용 규모/특징: 정기 공채. 대구 기반 공기업 전산직, 워라밸 및 안정성 최상",4216,8918,dart
21,S-Oil,010950,366370,에너지,소규모,수시,"전산 시스템 운영, 보안, 데이터 분석","채용 규모/특징: 소수 (수시 채용). 정유사 특유의 고연봉, 전산직 업무 강도 대비 처우 최상급",3497,15059,dart
22,메리츠증권,008560,347850,금융,소규모,수시,"금융 IT 시스템 관리, 인프라 운영","채용 규모/특징: 소수. 증권업계 최고 수준 연봉, 전산 지원 인력 상시 필요",1463,19738,dart
23,현대건설,000720,326703,건설·엔지니어링,중간,혼합,"스마트 건설 IT, ERP 관리, 현장 전산 지원",채용 규모/특징: 정기 공채/수시. 건설 IT 솔루션 및 본사 전산망 유지보수,7147,11103,dart
24,포스코인터내셔널,047050,323408,기타,소규모,,"글로벌 ERP 시스템 운영, IT 보안",채용 규모/특징: 소수. 글로벌 사업 네트워크 관리를 위한 전산직 필수,1743,13008,dart
25,에이치디현대오일뱅크,,304686,제조·모빌리티,소규모,,"정유 공정 IT 시스템, 전산 인프라",채용 규모/특징: 소수. 제조 인프라 기반의 안정적인 전산 운영,,12000,research
26,CJ제일제당,097950,293591,유통·물류,대규모,정기,"생산/유통 전산 시스템, 스마트 팩토리",채용 규모/특징: 대규모 (공채). 식품 제조/유통 IT 기획 및 관리 업무 비중 높음,8387,8136,dart
27,이마트,139480,290209,유통·물류,중간,혼합,"리테일 테크, 매장 전산 인프라, 전산 행정",채용 규모/특징: 수시/정기. 점포 전산 장비 및 결제 시스템 운영 인력 필요,24548,5048,dart
28,현대글로비스,086280,284074,유통·물류,,수시,"물류 시스템(WMS/TMS) 운영, IT 전략",채용 규모/특징: 수시. 물류 특화 전산 시스템 운영 및 유지보수,2441,9903,dart
29,미래에셋캐피탈,,279237,금융,소규모,,"금융 전산 운영, 리스/할부 시스템 관리",채용 규모/특징: 소수. 금융 시스템 운영 및 정보보안,,15000,research
30,LS,006260,275447,기타,극소수,,지주사 내 IT 전략 및 그룹사 시스템 관리,채용 규모/특징: 극소수. 지주사 IT 거버넌스 관리 위주,92,14100,dart
31,LG디스플레이,034220,266153,제조·모빌리티,대규모,혼합,"공정 제어 전산, 시스템 보안, 인프라",채용 규모/특징: 수시/공채. 제조업 기반의 대규모 IT 인프라 운영 인력 수요,25144,8744,dart
32,케이티,030200,264312,기타,대규모,정기,"네트워크 운영, IT 서비스 기획, 인프라 관리",채용 규모/특징: 대규모 (공채). 정통 IT/통신 기업으로 전산직의 핵심 거점,16927,11391,dart
33,LG에너지솔루션,373220,256196,에너지,대규모,,"배터리 제조 IT, 스마트 팩토리, 전산 보안",채용 규모/특징: 대규모. 신성장 산업으로 IT 인프라 구축 인력 대거 채용,12635,11839,dart
34,HD한국조선해양,009540,255386,제조·모빌리티,소규모,,"조선 공정 전산, DX 기획",채용 규모/특징: 소수. 지주사 내 IT 기획 및 조선 특화 시스템 관리,1411,11133,dart
35,GS,078930,252975,기타,극소수,,"그룹 전산 전략, IT 거버넌스",채용 규모/특징: 극소수. 지주사. 실제 운영은 GS ITM 등에서 수행,89,14565,dart
36,현대제철,004020,232261,제조·모빌리티,중간,혼합,"제철 공정 전산, MES 운영, IT 보안",채용 규모/특징: 수시/공채. 제조 전산 인프라 관리 및 공장 전산 지원,11803,9290,dart
37,미래에셋증권,006800,222423,금융,중간,정기,"트레이딩 시스템(HTS/MTS) 운영, 보안",채용 규모/특징: 정기 공채. 금융 IT 실무 인력 대폭 채용 (전산/보안/인프라),3298,13816,dart
38,LG이노텍,011070,212008,제조·모빌리티,,수시,"정밀 제조 IT, ERP 시스템 운영",채용 규모/특징: 수시. 부품 제조 기반 IT 시스템 유지보수,12658,8818,dart
39,한국금융지주,071050,211741,금융,극소수,,금융 IT 전략 및 계열사 관리,채용 규모/특징: 극소수. 지주사. 실제 채용은 한국투자증권 위주,87,16632,dart
40,롯데케미칼,011170,204304,기타,소규모,,"화학 공정 IT 운영, 전산 인프라 지원",채용 규모/특징: 소수. 롯데정보통신과 협업하나 본사 내 IT 운영직 존재,4764,10116,dart
41,한국투자증권,,195796,금융,중간,정기,"금융 IT 시스템 개발/운영, 인프라, 보안","채용 규모/특징: 정기 공채/채용연계형 인턴. 증권업계 최고 수준 처우, 전산직 위상 높음",,15000,research
42,두산,000150,181329,기타,소규모,,"그룹 전산 전략 기획, 보안 가이드라인 수립",채용 규모/특징: 소수 (지주사 채용). 지주사로 실무 운영은 두산디지털이노베이션 전담,1793,10140,dart
43,SK텔레콤,017670,179406,기타,대규모,혼합,"AI 인프라, 클라우드, 서비스 운영, 전산 지원",채용 규모/특징: 대규모 공채 및 수시. 국내 최고 수준 IT 인프라 및 전산 환경 보유,5493,16138,dart
44,대한항공,003490,178707,기타,중간,정기,"항공 예약/발권 시스템, 전산 보안, 기내 IT",채용 규모/특징: 정기 공채 (IT직 별도). 전산직 직렬이 뚜렷하며 인프라 관리 비중 높음,18214,11006,dart
45,LX인터내셔널,001120,166376,기타,소규모,수시,"글로벌 ERP 운영, SCM 시스템 관리",채용 규모/특징: 소수 수시 채용. 상사 특유의 글로벌 전산망 관리 직무 존재,387,10826,dart
46,삼성SDI,006400,165922,제조·모빌리티,중간,정기,"배터리 공정 전산화, 스마트 팩토리, 보안",채용 규모/특징: 정기 공채 (3급). 제조 IT 실무 인력 수요가 매우 높음,13341,8989,dart
47,두산에너빌리티,034020,162331,제조·모빌리티,중간,혼합,"발전 설비 제어 전산, 보안, 공장 인프라",채용 규모/특징: 수시/정기 공채. 창원 공장 중심의 전산 운영 및 보안 관리,6174,10059,dart
48,롯데지주,004990,157570,기타,소규모,수시,"그룹 IT 거버넌스, 디지털 전환 기획",채용 규모/특징: 소수 수시 채용. 지주사. 실제 운영은 롯데정보통신에서 수행,279,16911,dart
49,현대엔지니어링,,147604,건설·엔지니어링,중간,혼합,"건설 전산 시스템, ERP 관리, 현장 보안",채용 규모/특징: 수시/공채. 본사 전산지원팀 및 건설 특화 IT 운영,,10000,research
50,LG유플러스,032640,146252,기타,대규모,혼합,"통신망 전산 관리, 인프라 운영, IT 서비스",채용 규모/특징: 대규모 공채/수시. 통신 기반 전산 인프라 운영 인력 상시 채용,10571,11101,dart
51,HD현대중공업,329180,144865,제조·모빌리티,대규모,혼합,"스마트 조선소 IT, 생산 전산화, 보안",채용 규모/특징: 정기 공채/수시. 대규모 조선 공정 전산 인프라 관리직 존재,14537,9757,dart
52,에스케이온,,140347,기타,대규모,수시,"글로벌 배터리 생산 전산, IT 인프라 운영",채용 규모/특징: 대규모 수시 채용. 신설 법인으로 IT 시스템 구축 인력 대거 필요,,10000,research
53,롯데쇼핑,023530,139866,유통·물류,중간,혼합,"유통 전산 시스템, 온라인 몰 인프라 운영",채용 규모/특징: 수시/정기 공채. 리테일 테크 및 점포 전산 인프라 지원,18832,4898,dart
54,삼성에스디에스,018260,138282,기타,대규모,정기,"그룹 전산 운영(SM), 인프라, 보안, ERP",채용 규모/특징: 대규모 공채 (그룹 SI). 컴공 전공자가 가장 많이 지원하는 전산 전문 기업,11387,13578,dart
55,에스케이지오센트릭,,131935,제조·모빌리티,소규모,수시,"석유화학 공정 IT, 전산 인프라 보안","채용 규모/특징: 소수 수시 채용. 높은 평균 연봉, 안정적인 공장 전산 운영직",,14000,research
56,GS건설,006360,128638,건설·엔지니어링,중간,혼합,"스마트 빌딩 IT, ERP 관리, 현장 전산 지원",채용 규모/특징: 정기 공채/수시. 건설 IT 기술 및 본사 인프라 운영 업무,5483,9050,dart
57,현대트랜시스,,127464,제조·모빌리티,,수시,"부품 제조 전산, MES 운영, 인프라 보안",채용 규모/특징: 수시 채용. 자동차 부품 공급망 관리 전산직 수요 존재,,10000,research
58,하나증권,,126435,금융,중간,정기,"증권 전산 운영, MTS/HTS 관리, 보안",채용 규모/특징: 정기 공채/인턴. 금융 IT 특화 직무로 보수적인 전산 운영 위주,,14000,research
59,한화솔루션,009830,123940,제조·모빌리티,,수시,"태양광/케미칼 전산, 스마트 팩토리 기획",채용 규모/특징: 수시 채용 활발. 글로벌 제조 거점 전산망 통합 및 운영 담당,5910,8845,dart
60,하림지주,003380,122730,기타,극소수,,그룹사 IT 통합 관리 및 보안 감사,채용 규모/특징: 극소수. 지주사. 실제 IT는 계열사 및 협력사 위탁,74,7630,dart
61,다우데이타,032190,121361,기타,,수시,"IT 솔루션 기술 지원, 인프라 구축/운영",채용 규모/특징: 수시 채용. IT 전문 기업으로 실무 위주의 전산직 채용,206,6357,dart
62,CJ대한통운,000120,121168,유통·물류,중간,혼합,"물류 시스템(TES) 운영, 전산 물류 보안",채용 규모/특징: 수시/공채. 물류 자동화 및 시스템 운영 비중 매우 높음,7002,7881,dart
63,고려아연,010130,120529,제조·모빌리티,소규모,수시,"비철금속 공정 IT, 전산 인프라 유지보수",채용 규모/특징: 소수 수시 채용. 제조업 기반의 탄탄하고 안정적인 전산직,1944,11137,dart
64,한화토탈에너지스,,117977,에너지,소규모,수시,"화학 공정 전산화, 네트워크/보안 운영","채용 규모/특징: 소수 수시 채용. 고연봉 보장, 대산 공장 중심 전산 운영",,15000,research
65,HMM,011200,117002,유통·물류,,수시,"해운 전산 시스템 운영, 선박 IT 보안",채용 규모/특징: 수시 채용. 글로벌 해운 물류망 전산 관리 직무 핵심,1890,10834,dart
66,GS리테일,007070,116269,유통·물류,중간,혼합,"편의점/슈퍼 전산 인프라, POS 시스템",채용 규모/특징: 정기 공채/수시. 전국 점포망 전산 지원 및 데이터 관리,7458,4714,dart
